,영업 시간,가게명,가게 주소,업종,이미지url,카카오 url,별점,예측별점평균
297,화~일 12:00 ~ 20:30,람바다 본점,광주 북구 갈마로 57 (우)61161,회,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F2CF409FD70374A3E85A3ACC5F93CE02B',https://place.map.kakao.com/7865114,3.8,3.7
142,매일 11:30 ~ 20:30,행복한임금님 수완점,광주 광산구 왕버들로 113-2 (우)62245,퓨전한식,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F98204F3418C1406DA62FB3DEE508CC08',https://place.map.kakao.com/19188946,2.875,3.625
154,매일 16:00 ~ 23:00,식당미생 상무점,광주 서구 상무평화로 101 1층 (우)61963,삼겹살,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F51ACBF13D91F4949BD592F8CF58886BE',https://place.map.kakao.com/1656245763,4.875,3.625
209,화~일 11:30 ~ 20:30,그라제1985,광주 남구 오기원길 20-4 1층 (우)61662,양식,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2FC16E53FE3AFB4F38948821E806969A87',https://place.map.kakao.com/2086527784,4.4,3.6
130,월~토 17:00 ~ 00:30,팔팔소곱창,광주 서구 상무화원로32번길 29-9 (우)61961,"곱창,막창",'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F3E5D11FDCBAC4837910F2B3128C43246',https://place.map.kakao.com/23258606,4.529411764705882,3.5294117647058822
131,월~토 17:00 ~ 24:00,팔팔소곱창,광주 광산구 임방울대로332번길 9-14 1층 (우)62306,"곱창,막창",'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FA29824963FC842D19527B25626749A46',https://place.map.kakao.com/81331642,4.529411764705882,3.5294117647058822
299,매일 12:00 ~ 24:00,숙성도 광주점,광주 광산구 임방울대로800번길 71 아크레타첨단 1층 (우)62277,"육류,고기",'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F5DAA333A450B4516AAFECA3B4405539C',https://place.map.kakao.com/1756144563,3.5555555555555554,3.4444444444444446
184,매일 11:30 ~ 22:00,아웃백스테이크하우스 광주광천점,광주 서구 죽봉대로 68 다나메디컬센터 2층 (우)61932,아웃백스테이크하우스,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F38159F3517EB4DE5B0CD7692208C4B61',https://place.map.kakao.com/21657434,3.125,3.4166666666666665
57,매일 11:30 ~ 21:30,백년미가 유촌점,광주 서구 유덕로28번길 18 (우)61901,한정식,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FC6034FD4CEA44B0C9A8BA0FCB4841196',https://place.map.kakao.com/26513803,2.5384615384615383,3.3846153846153846
274,매일 11:30 ~ 22:00,광양숯불구이 상무본점,광주 서구 상무대로867번길 23 (우)61965,"육류,고기",'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2F58F9AE7C48B84890BD42AF578CCFD91F',https://place.map.kakao.com/11530675,2.0,3.3333333333333335
301,매일 16:00 ~ 04:00,리비어밤코,광주 서구 시청로 27 광명메이루즈 테라스가든 1층 119호 (우)61963,"호프,요리주점",'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FEC818A16FB674FA4B2874C043FDB7195',https://place.map.kakao.com/11458956,4.0,3.3333333333333335
52,매일 11:00 ~ 24:00,강태공,광주 서구 상무중앙로78번길 5-6 1층 (우)61949,회,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FEE6847FEC94549B183EF26CFE9405B49',https://place.map.kakao.com/1374858055,1.0,3.3333333333333335
