,영업 시간,가게명,카카오 url,별점평균,예측별점평균,이미지url,업종,메뉴
98,월~토 17:00 ~ 24:00,순수산,https://place.map.kakao.com/926945652,3.823529411764706,3.764705882352941,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F657E322909194F78B46636D4D22BEBCA',회,모듬회 (2인) 숙성도미회 광어회 연어 단새우회 아보카도 청어회김말이
172,"월,수,목,금,토,일 10:00 ~ 18:30",제니스뷔페 달서점,https://place.map.kakao.com/24449538,4.2,3.4,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F109CB82F95AF495A80789E5F3F02464E',뷔페,뷔페(대인) 뷔페(소인)(초등학생)
229,매일 10:30 ~ 22:00,겟201 월성점,https://place.map.kakao.com/1642685959,3.8333333333333335,3.3333333333333335,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalad_thumb%2Ft%2Fa27bca67e7329ea5b2a5bfea0ffa413dead6adb4',양식,베이직 샐러드 루꼴라 베이컨 브래드 피자 에그 까르보나라 불고기 숙주 볶음밥 등심스테이크
289,월~금 12:00 ~ 22:30,경주회타운,https://place.map.kakao.com/16264256,3.0,3.3333333333333335,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F0AD8C866DE134CA4B409F3DB5DD56560',회,모듬회 (1-2인) 세꼬시 (1-2인) 광어 (1-2인) 우럭 (1-2인) 게르치 (1-2인)
218,매일 10:00 ~ 18:00(예약문의시간),탑골식당,https://place.map.kakao.com/12484877,3.7777777777777777,3.3333333333333335,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F9FF2A2D0C2454251AE5B49C51E2DE3CD',오리,참나무장작바베큐 유황오리훈제 능이 오리백숙 엄나무 오리백숙 송이버섯전골 (소)
276,"월요일                                                                                    ",바다와,https://place.map.kakao.com/1115781056,2.888888888888889,3.2962962962962963,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fcfile%2F124ACA4D4F6EC28406',회,모듬회 (소) 고등어회 (소) 고등어회+전갱이회 or 광어회 (2인) 방어회+고등어회 or 전갱이 or 광어 (소) 광어회 (소)
94,매일 08:00 ~ 24:00,마고플레인 아양교점,https://place.map.kakao.com/1268291202,3.5714285714285716,3.2857142857142856,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FC423A9886E2D44BEB233CE0146D989AE',카페,아메리카노 콩떡콩떡 쉐이크 카페 라떼 토마토 샐러리 주스
111,월~토 09:00 ~ 22:00,청도돼지국밥,https://place.map.kakao.com/9497643,3.515151515151515,3.272727272727273,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fcfile%2F03062A0379CACD1D7A',국밥,돼지국밥 순대국밥 곱창국밥 순대따로국밥 곱창따로국밥
245,"월요일                                                                                    ",너랑나랑,https://place.map.kakao.com/133192721,4.0,3.230769230769231,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2FE439FDE358634575B6D63E8713C6289B',"곱창,막창",돼지막창 (130g) 소막창 (130g) 가브리살 (150g) 갈매기살 (150g)
60,매일 12:00 ~ 23:30,돼지만 본점,https://place.map.kakao.com/19471519,3.611111111111111,3.2222222222222223,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2F227DDFA463814EF38EA955DDC631A403',"육류,고기",돼지사태 김치뚝배기 돼지사태 김치전골 묵은지 김치소면 한우왕된장 생삼겹살 (150g) 생목살 (150g) 돼지생삼겹살 항정살 (120g) 가브리살 (120g) 돼지 특수부위(120g) 갈매기살 (120g) 돼지특수부위 한우 안창살 (100g) 된장찌개 묵은직김치소면 한우꽃등심 돼지생목살
31,"월요일                                                                                    ",산을담은밥상,https://place.map.kakao.com/27146692,2.533333333333333,3.2,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2FA00735C0CE574895BAD262FBD75AAF1C',한정식,흑태찜 통사시미 활어회 활전복회 한우육회
119,매일 12:00 ~ 24:00,황토시골집,https://place.map.kakao.com/21228688,3.8823529411764706,3.176470588235294,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F85B1BB955C16418D9E5687E96B1649B0',닭요리,자연산 능이버섯백숙 자연산 송이버섯도리탕 닭백숙 옻닭 닭도리탕 오리백숙 옻오리백숙
61,"월,화,수,목,토,일 12:00 ~ 22:00",인더매스 삼덕,https://place.map.kakao.com/2010193979,4.782608695652174,3.1739130434782608,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fcfile%2F1238224B4F667A3506',카페,에스프레소 아메리카노 플랫화이트 라떼 크림솔티라떼
221,매일 12:00 ~ 23:00,금강회초밥,https://place.map.kakao.com/8205464,2.6666666666666665,3.1666666666666665,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F405C96CDAC5D439D8DB110E2E26A08F3',"초밥,롤",특 전복코스요리 금강정식 대게전복탕 전복죽 특물회 물회 생우럭탕 생대구탕 복어탕 멍게덮밥 와다덮밥 장어덮밥 회덮밥 알밥 가께우동 복사시미 돌돔 이시가리 도다리 감성돔
222,매일 09:00 ~ 22:00,방촌시장떡볶이,https://place.map.kakao.com/1694408149,2.75,3.1666666666666665,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F8D63241E29E34B52850FA615C11D7076',떡볶이,떡볶이 납작만두 고기만두 김밥 튀김 물오뎅 콜피스 음료수
254,"월요일                                                                                    ",다이닝슬로우라이프,https://place.map.kakao.com/634363001,2.45,3.15,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fcfile%2F252EE45055248C0B1A',이탈리안,"프로슈토와 그린올리브,와일드 루꼴라 샐러드 시즈널 스타터 샐러드 부라타치즈 카프레제 샐러드 트러플 감자뇨끼 보따르가 어란 파스타"
196,매일 11:30 ~ 22:30,팔공노을철판장작구이,https://place.map.kakao.com/694697577,2.8666666666666667,3.1333333333333333,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FF629C72AB2A1456AA63A676AEF510EE2',일식,
49,매일 10:00 ~ 22:00,미성복어불고기 들안길 본점,https://place.map.kakao.com/8991526,3.022222222222222,3.111111111111111,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F85B8815E856F4618A5FE84C116026D82',복어,코스(1인) 복어탕(1인) 콩나물불고기(1인) 복어튀김 추천까치복어콩나물불고기(1인) 추천복어 맑은탕(1인) 껍질무침 런치 세트(1인)
28,매일 11:30 ~ 21:20,취팔선 진천본점,https://place.map.kakao.com/12549329,3.2777777777777777,3.111111111111111,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2F7F8F59046E3748D2B8BDB37D110A70F7',중국요리,유니짜장 짬뽕 볶음밥 잡탕밥 북경탕수육(S) 고인돌 망치 탕수육
185,매일 05:30 ~ 20:30,대성기사한식뷔페,https://place.map.kakao.com/16322218,3.6666666666666665,3.111111111111111,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2F4F0438F7BFBD46B2A5572E0684DADC28',한식뷔페,성인 초등학생 미취학
287,매일 11:00 ~ 21:00,본가안동국시 본점,https://place.map.kakao.com/11105832,3.6818181818181817,3.090909090909091,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F3E8EB0334CAD4EBBA5002DD7CF3185A1',국수,안동국시 예전국시 소고기국밥 돼지고기수육 (소) 냉콩국시
104,"월요일                                                                                    ",기찻길참숯구이,https://place.map.kakao.com/16258422,4.133333333333334,3.066666666666667,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F996C6A70BFF0484AA3824BC85658BD81',삼겹살,모듬세트 (5인분) 삼겹살 (1인분)
279,매일 10:30 ~ 22:00,카르멜 다사점,https://place.map.kakao.com/1682989848,4.25,3.0625,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F8E0D4E96AE1E48549884150AE23B5D41',카페,에스프레소 아메리카노 카페라떼 허니 한라봉 에이드 퓨어프라나
227,매일 11:00 ~ 22:30,라미아에밀리,https://place.map.kakao.com/26873119,3.375,3.0625,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fcfile%2F01062A0379133D6CB3',카페,아메리카노 카페라떼 카푸치노 초코라떼 아몬드 초코라떼
43,매일 09:00 ~ 22:00,남산제빵소,https://place.map.kakao.com/703487174,2.875,3.05,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FE160A49A35A24E448CEB7FC167F970DC',카페,아메리카노 카페라떼 딸기스무디 초코라떼 블랙피치아이스티
68,"일요일                                                                                    ",진해숯불막창,https://place.map.kakao.com/21317846,3.0869565217391304,3.0434782608695654,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F72D5709E36FF431DBE4238338CD67D46',"곱창,막창",절창 소막창 돼지막창 목살 생삼겹
174,"월,화,목,금,토,일 10:30 ~ 21:30",동이식당,https://place.map.kakao.com/13582169,4.416666666666667,3.0416666666666665,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F22D95B2D95354C1888A5B6CA1C84A500',한정식,동이정식
128,매일 10:00 ~ 01:00,오르다카페,https://place.map.kakao.com/38249159,3.8,3.04,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F2A5E94D3540045589185D2EF7A1FEF01',카페,아메리카노 카페라떼 장미 우유 말차 우유 장미 에이드
203,"월요일                                                                                    ",인투,https://place.map.kakao.com/1780175386,3.775,3.025,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2FEE8DDFF3053248D79978AF9B55514897',양식,브루스게타 감바스까주멜라 판짜넬라 그라탕도피누아 라따뚜이
93,매일 17:00 ~ 05:00,태능집,https://place.map.kakao.com/11834053,3.5277777777777777,3.0,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fcfile%2F2663BD4754B7A42209',"불고기,두루치기",북성로 불고기(대) 우동
107,"월요일                                                                                    ",데우스커피,https://place.map.kakao.com/1019194191,4.304347826086956,3.0,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FF699B6BDDCCF417AA01F18072C7FC27D',카페,Americano Cafe Latte Apple SODA Matcha Latte Cannele
216,매일 00:00 ~ 24:00,양파식당,https://place.map.kakao.com/17164151,3.0,3.0,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F8B9E3FE511224DE6BDF50ECA8D6B038E',"육류,고기",
120,매일 17:00 ~ 08:00,치치 대구동성로점,https://place.map.kakao.com/1976683385,3.5,3.0,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FDF5FCF520D9F4DFAA6E5878F7A81BACA',"호프,요리주점",연탄불고기 닭똥집후라이드 차돌규동 경양돈까스 나가사키짬뽕탕
126,"월요일                                                                                    ",사문진주막촌,https://place.map.kakao.com/25738535,3.75,3.0,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2F257C26E0C90C4BD0844FB8FA084AF28F',"호프,요리주점",소고기국밥 손두부 메밀전병 오징어무침 부추전
250,매일 12:00 ~ 01:00,만수통닭 수성못본점,https://place.map.kakao.com/27577399,3.2142857142857144,3.0,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2F21B334CCB23642E8979FB9F7B4D181E6',치킨,전기구이 통닭 후라이드 통닭 양념통닭 간장통닭 매운양념통닭 깻잎통닭 후라이드/양념 반반 후라이드/간장 반반 후라이드/매운양념 양념/간장 매운양념/간장 닭똥집
207,매일 10:00 ~ 23:00,시지본,https://place.map.kakao.com/96504504,3.3333333333333335,3.0,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fcfile%2F1772B3384F62CF842B',디저트카페,아메리카노 콜드브루 (ICE) 카페라떼 초코라떼 자몽티 (HOT)
41,"월,화,수,금,토,일 10:00 ~ 22:00",헤이마,https://place.map.kakao.com/1404157553,3.5714285714285716,3.0,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2FA0E1E7491F8C4D9385025F0ECD45BDA4',디저트카페,에티오피아 구지 우라가 포인트라떼 (ICE) 카페라떼 피치 블로썸 얼그레이
165,월~토 17:00 ~ 24:00,봉산동생고기집,https://place.map.kakao.com/1977988495,4.777777777777778,3.0,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2FF949C7A1FA8049F08D77F6B0D3897E14',"육류,고기",생고기(중) 추천생고기(대) 육회(중) 육회(대) 추천반반(생고기+육회) 양지/오드레기 구이 마늘찜갈비 소고기 전골 반반(생고기+양지/오드레기 구이) 반반(육회+양지/오드레기 구이) 소 수육 차돌박이 된장찌개 차돌박이 라면
290,매일 10:00 ~ 22:00,룰리커피 가창점,https://place.map.kakao.com/642782312,3.9411764705882355,3.0,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fcfile%2F02062A03795ACFF985',커피전문점,
191,매일 10:00 ~ 22:00,동림식당,https://place.map.kakao.com/11096104,3.037037037037037,3.0,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fcfile%2F1139A6425011098D25',국수,손칼국수 도토리묵 메밀묵채 촌두부 순두부 비빔밥 부추전 백숙 옻닭 찜닭 도리탕
169,매일 09:00 ~ 23:00,161커피스튜디오,https://place.map.kakao.com/1417647296,3.111111111111111,3.0,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalad_thumb%2Ft%2F460413d4b10049ced517e83d0c02c1f20a1674c1',카페,소금커피 (HOT) 161밀크티 (HOT) 크림카푸치노 (HOT) 에스프레소 (HOT) 아메리카노 (HOT) 카페라떼 (HOT)
278,매일 11:00 ~ 22:00,카페포켓,https://place.map.kakao.com/160402563,3.72,3.0,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fcfile%2F1236694F4FE4310512',커피전문점,에스프레소 아메리카노 카페라떼 말차라떼 누델라 초코 라떼 (ICE) 웨딩 임페리얼 (HOT)
277,매일 11:00 ~ 22:00,금수강산해물탕찜,https://place.map.kakao.com/8220291,4.525,2.975,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F8DC9591F46274FDD98FB85BAA83E9D46',"매운탕,해물탕",추천해물탕(소) 추천해물찜(소) 아구찜(소) 산낙지 철판 2인기준 튀김만두 왕새우찜(소) 어린이돈까스 산낙지회 왕새우튀김(4개) 볶음밥(1인기준) 아갑찜(소)
205,매일 11:00 ~ 22:00,푸나왈라,https://place.map.kakao.com/869104156,4.131578947368421,2.973684210526316,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F4A432B7F32C34AC2B1B771288BA93CE8',인도음식,탄두리 치킨 치킨 티카 치킨 버터 커리 쿠쉬탈리 플레인난
