,리뷰,별점,리뷰자 평균 평점,리뷰자 누적 리뷰 개수,영업 시간,이미지url,가게명,가게 주소,메뉴,카카오 url,업종
0,맛은 그냥 쏘쏘했습니다1시간을 달려 가서 웨이팅까지 하면서..먹을 정도는 아닌것 같습니다 된장찌게랑 식혜가 제일 맛있었습니다 ㅋ불고기,3,2.0,2,매일 11:00 ~ 20:50,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F3E78BF5ABCA14871B30DBE72165FA53B',언양기와집불고기,울산 울주군 언양읍 헌양길 86 (우)44942,추천언양불고기(180g) 추천육회(200g) 등심(120g) 낙엽살(120g) 안거미(120g) 꽃살(120g) 물막국수 비빔막국수 된장찌개 공기밥 새우살(120g),https://place.map.kakao.com/16810283,한식
1,정말 무시무시한 웨이팅.. 식사시간 좀 지나서 가고 그런거랑 상관없습니다근데 불고기는 기똥차게 맛있어요달지만 맛있는 단맛육회도 맛있어용,3,4.2,10,매일 11:00 ~ 20:50,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F3E78BF5ABCA14871B30DBE72165FA53B',언양기와집불고기,울산 울주군 언양읍 헌양길 86 (우)44942,추천언양불고기(180g) 추천육회(200g) 등심(120g) 낙엽살(120g) 안거미(120g) 꽃살(120g) 물막국수 비빔막국수 된장찌개 공기밥 새우살(120g),https://place.map.kakao.com/16810283,한식
2,비싸고 맛은 괜찮은편인데 장사가 잘돼서 그런지 오픈런했는데 빨리 먹고 나가라고 압박이 좀 있네요또 갈지는 생각 좀 해봐야겠습니다,3,3.8,65,매일 11:00 ~ 20:50,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F3E78BF5ABCA14871B30DBE72165FA53B',언양기와집불고기,울산 울주군 언양읍 헌양길 86 (우)44942,추천언양불고기(180g) 추천육회(200g) 등심(120g) 낙엽살(120g) 안거미(120g) 꽃살(120g) 물막국수 비빔막국수 된장찌개 공기밥 새우살(120g),https://place.map.kakao.com/16810283,한식
3,하.. 존맛탱입니다. 울산 갈 때마다 꼭 갑니다.가끔 이거 먹으러 울산까지 갈 때도 있습니다.,5,4.6,26,매일 11:00 ~ 20:50,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F3E78BF5ABCA14871B30DBE72165FA53B',언양기와집불고기,울산 울주군 언양읍 헌양길 86 (우)44942,추천언양불고기(180g) 추천육회(200g) 등심(120g) 낙엽살(120g) 안거미(120g) 꽃살(120g) 물막국수 비빔막국수 된장찌개 공기밥 새우살(120g),https://place.map.kakao.com/16810283,한식
4,갓벽,5,3.7,130,매일 11:00 ~ 20:50,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F3E78BF5ABCA14871B30DBE72165FA53B',언양기와집불고기,울산 울주군 언양읍 헌양길 86 (우)44942,추천언양불고기(180g) 추천육회(200g) 등심(120g) 낙엽살(120g) 안거미(120g) 꽃살(120g) 물막국수 비빔막국수 된장찌개 공기밥 새우살(120g),https://place.map.kakao.com/16810283,한식
5,언양불고기 먹고싶을 때 가는곳추천드립니다,4,3.4,99,매일 11:00 ~ 20:50,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F3E78BF5ABCA14871B30DBE72165FA53B',언양기와집불고기,울산 울주군 언양읍 헌양길 86 (우)44942,추천언양불고기(180g) 추천육회(200g) 등심(120g) 낙엽살(120g) 안거미(120g) 꽃살(120g) 물막국수 비빔막국수 된장찌개 공기밥 새우살(120g),https://place.map.kakao.com/16810283,한식
6,맛있고 웨이팅 좀 길어서 오픈런 추천합니다,4,3.9,50,매일 11:00 ~ 20:50,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F3E78BF5ABCA14871B30DBE72165FA53B',언양기와집불고기,울산 울주군 언양읍 헌양길 86 (우)44942,추천언양불고기(180g) 추천육회(200g) 등심(120g) 낙엽살(120g) 안거미(120g) 꽃살(120g) 물막국수 비빔막국수 된장찌개 공기밥 새우살(120g),https://place.map.kakao.com/16810283,한식
7,오랜만에 방문했는데 여전히 맛있고 친절하시네요^^ 잘 먹고 갑니다. 언양불고기3 물막국수1비빔막국수1된장찌개1공기밥2: 완벽클리어ㅎㅎ후식으로 나오는 식혜도 너무 맛나요~,5,3.2,61,매일 11:00 ~ 20:50,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F3E78BF5ABCA14871B30DBE72165FA53B',언양기와집불고기,울산 울주군 언양읍 헌양길 86 (우)44942,추천언양불고기(180g) 추천육회(200g) 등심(120g) 낙엽살(120g) 안거미(120g) 꽃살(120g) 물막국수 비빔막국수 된장찌개 공기밥 새우살(120g),https://place.map.kakao.com/16810283,한식
8,이집은 불고기가 아니라 생고기가 맛있음 육회나 불고기는 단맛이 좀 있음. 불고기 식감은 호불호가 있을 수 있음 된장찌개도 맛있음 사장님이 국민포장을 받았다함. 직원분들도 서비스 속도나 자세도 괜찮음. 암튼 방문 추천,5,3.7,539,매일 11:00 ~ 20:50,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F3E78BF5ABCA14871B30DBE72165FA53B',언양기와집불고기,울산 울주군 언양읍 헌양길 86 (우)44942,추천언양불고기(180g) 추천육회(200g) 등심(120g) 낙엽살(120g) 안거미(120g) 꽃살(120g) 물막국수 비빔막국수 된장찌개 공기밥 새우살(120g),https://place.map.kakao.com/16810283,한식
9,언양불고기 맛있어요.,4,4.0,43,매일 11:00 ~ 20:50,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F3E78BF5ABCA14871B30DBE72165FA53B',언양기와집불고기,울산 울주군 언양읍 헌양길 86 (우)44942,추천언양불고기(180g) 추천육회(200g) 등심(120g) 낙엽살(120g) 안거미(120g) 꽃살(120g) 물막국수 비빔막국수 된장찌개 공기밥 새우살(120g),https://place.map.kakao.com/16810283,한식
